"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2019","73.693","73.563","74.012","73.510","30.16K","0.20%"
"12/30/2019","73.546","73.267","73.720","73.188","37.89K","0.38%"
"12/27/2019","73.264","72.666","73.496","72.591","34.40K","0.88%"
"12/26/2019","72.626","72.720","72.783","72.574","17.54K","-0.09%"
"12/25/2019","72.695","72.720","72.734","72.608","0.77K","0.02%"
"12/24/2019","72.680","72.540","72.757","72.384","29.19K","0.24%"
"12/23/2019","72.508","72.296","72.680","72.282","31.58K","0.31%"
"12/20/2019","72.286","72.744","72.811","72.263","36.80K","-0.60%"
"12/19/2019","72.719","72.419","72.807","72.305","37.72K","0.46%"
"12/18/2019","72.387","72.455","72.559","72.246","35.36K","-0.06%"
"12/17/2019","72.428","72.200","72.539","71.985","37.07K","0.34%"
"12/16/2019","72.180","71.979","72.295","71.895","32.71K","0.34%"
"12/13/2019","71.932","71.633","72.123","71.547","58.47K","0.45%"
"12/12/2019","71.613","71.948","72.244","71.480","44.61K","-0.41%"
"12/11/2019","71.908","71.918","72.084","71.715","40.86K","0.00%"
"12/10/2019","71.907","71.825","72.054","71.726","33.61K","0.15%"
"12/09/2019","71.800","72.003","72.025","71.693","29.86K","-0.21%"
"12/06/2019","71.951","72.169","72.414","71.840","32.39K","-0.26%"
"12/05/2019","72.136","72.291","72.581","71.995","37.70K","-0.20%"
"12/04/2019","72.281","72.677","72.805","72.192","41.88K","-0.51%"
"12/03/2019","72.653","72.263","72.785","72.080","39.82K","0.58%"
"12/02/2019","72.233","71.706","72.300","71.613","33.81K","0.72%"
"11/29/2019","71.717","71.613","71.981","71.516","32.98K","0.17%"
"11/28/2019","71.593","71.313","71.795","71.292","31.73K","0.42%"
"11/27/2019","71.293","71.688","71.706","71.249","38.05K","-0.52%"
"11/26/2019","71.663","71.938","71.966","71.607","39.69K","-0.34%"
"11/25/2019","71.907","71.970","72.044","71.775","38.90K","-0.07%"
"11/22/2019","71.959","72.248","72.370","71.893","37.92K","-0.36%"
"11/21/2019","72.217","72.405","72.584","72.211","41.21K","-0.23%"
"11/20/2019","72.387","72.526","72.603","72.165","42.08K","-0.16%"
"11/19/2019","72.502","72.709","72.774","72.229","37.77K","-0.27%"
"11/18/2019","72.696","72.425","72.888","72.316","36.05K","0.47%"
"11/15/2019","72.356","72.840","72.854","72.251","32.26K","-0.63%"
"11/14/2019","72.812","72.871","73.016","72.643","36.97K","-0.05%"
"11/13/2019","72.847","72.282","73.001","72.242","36.53K","0.81%"
"11/12/2019","72.264","72.052","72.330","71.856","32.49K","0.34%"
"11/11/2019","72.021","71.604","72.111","71.515","31.70K","0.69%"
"11/08/2019","71.529","71.382","71.723","71.357","43.46K","0.23%"
"11/07/2019","71.365","71.525","71.663","71.215","54.76K","-0.19%"
"11/06/2019","71.501","71.274","71.601","71.238","43.84K","0.34%"
"11/05/2019","71.262","71.663","71.686","71.220","42.42K","-0.52%"
"11/04/2019","71.632","71.725","71.820","71.494","29.87K","-0.20%"
"11/01/2019","71.777","71.959","72.090","71.527","36.78K","-0.22%"
"10/31/2019","71.935","71.709","72.039","71.632","45.13K","0.33%"
"10/30/2019","71.697","71.318","71.756","71.271","39.59K","0.57%"
"10/29/2019","71.294","71.129","71.368","71.046","33.17K","0.26%"
"10/28/2019","71.110","71.218","71.290","70.912","27.02K","-0.12%"
"10/25/2019","71.194","71.522","71.623","71.100","38.83K","-0.42%"
"10/24/2019","71.496","71.418","71.790","71.352","37.67K","0.18%"
"10/23/2019","71.369","71.546","71.765","71.356","39.35K","-0.24%"
"10/22/2019","71.538","71.932","71.968","71.543","41.11K","-0.53%"
"10/21/2019","71.920","72.129","72.224","71.720","35.10K","-0.39%"
"10/18/2019","72.199","71.994","72.246","71.868","38.60K","0.33%"
"10/17/2019","71.962","71.741","72.096","71.615","42.10K","0.37%"
"10/16/2019","71.695","71.597","71.905","71.469","46.45K","0.18%"
"10/15/2019","71.569","71.429","71.790","71.363","49.93K","0.22%"
"10/14/2019","71.412","71.131","71.586","71.022","43.21K","0.40%"
"10/11/2019","71.126","71.197","71.303","71.007","54.95K","-0.06%"
"10/10/2019","71.172","71.420","71.754","71.175","57.02K","-0.30%"
"10/09/2019","71.388","71.723","71.776","71.343","50.03K","-0.44%"
"10/08/2019","71.705","71.346","71.890","71.260","47.90K","0.52%"
"10/07/2019","71.331","71.131","71.548","71.117","44.82K","0.28%"
"10/04/2019","71.133","71.094","71.449","70.768","62.64K","0.10%"
"10/03/2019","71.063","71.368","71.539","70.795","54.43K","-0.40%"
"10/02/2019","71.347","71.576","71.687","71.040","44.19K","-0.29%"
"10/01/2019","71.558","70.786","71.672","70.718","54.96K","1.12%"
"09/30/2019","70.767","71.117","71.396","70.726","43.43K","-0.50%"
"09/27/2019","71.125","71.422","71.456","70.834","45.69K","-0.37%"
"09/26/2019","71.391","71.582","71.702","71.260","53.61K","-0.21%"
"09/25/2019","71.544","72.015","72.199","71.518","52.68K","-0.61%"
"09/24/2019","71.984","71.529","72.090","71.368","49.40K","0.68%"
"09/23/2019","71.501","71.656","71.753","71.443","48.26K","-0.28%"
"09/20/2019","71.705","71.885","72.045","71.292","49.17K","-0.22%"
"09/19/2019","71.866","71.324","72.074","71.248","63.21K","0.80%"
